,Isolate,AMIKACIN,CAPREOMYCIN,CIPROFLOXACIN,ETHAMBUTOL,ETHIONAMIDE,ISONIAZID,KANAMYCIN,LEVOFLOXACIN,OFLOXACIN,PARA-AMINOSALICYLIC_ACID,PYRAZINAMIDE,RIFAMPICIN,STREPTOMYCIN
7142,SAMN02350481,,,,,,R,S,,R,,,R,R
7143,SAMN02350482,,,,,,R,S,,R,,,R,R
7144,SAMN02350483,,,,,,R,S,,R,,,R,R
7145,SAMN02350484,,,,,,R,S,,R,,,R,R
7146,SAMN02350485,,,,,,R,S,,R,,,R,R
7147,SAMN02350486,,,,,,R,S,,R,,,R,R
7148,SAMN02350487,,,,,,R,S,,R,,,S,R
7149,SAMN02350488,,,,,,R,S,,R,,,R,R
7150,SAMN02350489,,,,,,R,S,,R,,,R,R
7151,SAMN02350490,,,,,,R,S,,R,,,R,R
7152,SAMN02350491,,,,,,R,S,,R,,,R,R
7153,SAMN02350492,,,,,,R,S,,R,,,R,R
7154,SAMN02350493,,,,,,S,S,,S,,,S,S
7155,SAMN02350494,,,,,,S,S,,S,,,S,S
7156,SAMN02350495,,,,,,S,S,,S,,,S,S
7157,SAMN02350496,,,,,,S,S,,S,,,S,S
7158,SAMN02351142,S,S,,S,S,S,S,,S,S,S,S,S
7159,SAMN02358674,S,S,,S,S,S,S,,S,S,S,S,S
7160,SAMN02358676,S,S,,R,R,R,S,,S,S,R,R,R
7161,SAMN02358677,S,S,,R,S,R,S,,S,S,R,R,R
7162,SAMN02358678,S,S,,S,S,S,S,,S,S,S,S,S
7163,SAMN02358703,R,R,,R,R,R,R,,S,S,R,R,R
7164,SAMN02358704,S,S,,S,S,R,S,,S,S,R,R,R
7165,SAMN02358705,S,S,,R,S,R,R,,R,S,S,R,R
7166,SAMN02358706,S,S,,S,S,S,S,,S,S,R,S,S
7167,SAMN02358710,S,S,,S,S,R,S,,S,R,S,R,R
7168,SAMN02358711,S,S,,S,R,R,S,,S,S,S,S,R
7169,SAMN02358712,S,S,,S,S,R,S,,S,S,R,R,R
7170,SAMN02358714,S,S,,R,S,R,R,,S,S,R,R,R
7171,SAMN02360548,R,,,,R,,R,,R,R,,R,S
7172,SAMN02360549,R,,,R,R,,R,,R,R,,R,S
7173,SAMN02360550,R,,,R,R,R,R,,S,R,,R,R
7174,SAMN02360551,R,,,R,S,R,R,,S,R,,R,S
7175,SAMN02360552,R,,,R,R,R,R,,R,R,,R,R
7176,SAMN02360553,R,,,R,R,,R,,S,S,,R,S
7177,SAMN02360555,S,,,R,S,R,R,,S,S,,R,R
7178,SAMN02360557,S,,,R,R,R,S,,S,R,,R,S
7179,SAMN02360558,R,,,R,R,R,R,,R,R,,R,S
7180,SAMN02360559,R,,,,R,R,R,,R,R,,R,R
7181,SAMN02360560,R,,,,R,R,R,,R,R,,R,R
7182,SAMN02360561,R,,,,R,R,R,,S,R,,R,S
7183,SAMN02360565,R,,,R,R,R,R,,R,S,,R,R
7184,SAMN02360566,R,,,,R,R,R,,R,R,,R,
7185,SAMN02360567,R,,,,R,,R,,R,S,,R,S
7186,SAMN02360569,R,,,R,R,R,R,,S,R,,R,R
7187,SAMN02360572,S,,,,S,S,S,,S,S,,S,S
7188,SAMN02360573,S,,,S,S,S,S,,S,S,,S,S
7189,SAMN02360575,S,,,,S,S,S,,S,S,,S,S
7190,SAMN02360576,S,,,,S,R,S,,S,S,,R,S
7191,SAMN02360582,S,,,S,S,S,S,,S,R,,S,S
7192,SAMN02360587,S,,,,S,S,S,,S,R,,S,S
7193,SAMN02360589,S,,,S,S,S,S,,S,S,,S,S
7194,SAMN02360592,R,,,R,R,R,R,,S,S,,R,R
7195,SAMN02360593,S,,,R,R,R,S,,R,S,,R,S
7196,SAMN02360594,R,,,R,S,R,R,,S,R,,R,S
7197,SAMN02360596,R,,,R,R,R,R,,R,R,,R,R
7198,SAMN02360598,R,,,R,R,R,R,,R,R,,S,R
7199,SAMN02360599,S,,,S,S,S,S,,S,R,,S,S
7200,SAMN02360610,R,,,R,R,R,R,,R,R,,R,R
7201,SAMN02360611,R,,,R,R,R,R,,R,R,,R,R
7202,SAMN02360612,S,,,R,S,R,S,,S,S,,R,S
7203,SAMN02360613,R,,,R,R,R,R,,R,R,,R,S
7204,SAMN02360614,S,,,,S,S,S,,S,S,,S,S
7205,SAMN02360615,R,,,R,R,R,R,,R,R,,R,S
7206,SAMN02360616,S,,,,R,R,S,,R,R,,R,
7207,SAMN02360617,S,,,R,R,R,S,,R,R,,R,R
7208,SAMN02360618,R,,,R,R,R,R,,R,R,,R,R
7209,SAMN02360619,R,,,R,R,R,R,,R,R,,R,S
7210,SAMN02364076,,,,,S,R,,,R,S,,R,R
7211,SAMN02364077,,,,,S,R,,,R,R,,R,S
7212,SAMN02364078,,,,S,S,S,,,R,S,,S,S
7213,SAMN02364079,,,,S,S,S,,,R,S,,S,S
7214,SAMN02364080,,,,S,S,S,,,R,S,,S,S
7215,SAMN02364081,,,,S,S,S,,,S,S,,S,S
