,Isolate,AMIKACIN,CAPREOMYCIN,CIPROFLOXACIN,ETHAMBUTOL,ETHIONAMIDE,ISONIAZID,KANAMYCIN,LEVOFLOXACIN,OFLOXACIN,PARA-AMINOSALICYLIC_ACID,PYRAZINAMIDE,RIFAMPICIN,STREPTOMYCIN
18831,SRR6046192,,,,S,,,,,,,S,S,
18832,SRR6045197,,,,S,,S,,,,,S,S,
18833,SRR6045261,,,,S,,S,,,,,S,S,
18834,SRR6045806,,,,S,,S,,,,,R,S,
18835,SRR6046475,,,,S,,S,,,,,S,S,
18836,SRR6046481,,,,S,,S,,,,,S,S,
18837,SRR6045243,,,,S,,S,,,,,,S,
18838,SRR6046405,,,,S,,S,,,,,S,S,
18839,SRR6046891,,,,S,,S,,,,,S,S,
18840,SRR6045316,,,,S,,S,,,,,S,S,
18841,SRR6045148,,,,S,,S,,,,,S,S,
18842,SRR6045135,,,,S,,S,,,,,S,S,
18843,SRR6046865,,,,S,,S,,,,,S,S,
18844,SRR6046786,,,,S,,S,,,,,S,S,
18845,SRR6045447,,,,S,,S,,,,,S,S,
18846,SRR6046553,,,,S,,S,,,,,S,S,
18847,SRR6045905,,,,S,,S,,,,,S,S,
18848,SRR6045000,,,,S,,,,,,,R,,
18849,SRR6044912,,,,S,,S,,,,,S,S,
18850,SRR6045584,,,,S,,S,,,,,S,S,
18851,SRR6045165,,,,S,,S,,,,,S,S,
18852,SRR6046034,,,,S,,S,,,,,,S,
18853,SRR6046329,,,,S,,S,,,,,S,S,
18854,SRR6046002,,,,S,,S,,,,,S,S,
18855,SRR6045805,,,,S,,S,,,,,S,S,
18856,SRR6045163,,,,S,,S,,,,,S,S,
18857,SRR6046484,,,,S,,S,,,,,S,S,
18858,SRR6045696,,,,S,,S,,,,,S,S,
18859,SRR6044964,,,,S,,S,,,,,S,S,
18860,SRR6045144,,,,S,,S,,,,,S,S,
18861,SRR6045753,,,,S,,S,,,,,S,S,
18862,SRR6045591,,,,S,,S,,,,,S,S,
18863,SRR6046695,,,,S,,S,,,,,S,S,
18864,SRR6045758,,,,S,,,,,,,S,S,
18865,SRR6044955,,,,S,,S,,,,,S,S,
18866,SRR6045520,,,,S,,S,,,,,S,R,
18867,SRR6046894,,,,S,,S,,,,,S,S,
18868,SRR6045670,,,,S,,S,,,,,S,S,
18869,SRR6046848,,,,S,,S,,,,,S,S,
18870,SRR6044803,,,,S,,S,,,,,S,S,
18871,SRR6046193,,,,S,,S,,,,,S,S,
18872,SRR6046127,,,,S,,S,,,,,S,S,
18873,SRR6045556,,,,S,,S,,,,,S,S,
18874,SRR6045932,,,,S,,R,,,,,S,R,
18875,SRR6046137,,,,S,,S,,,,,S,S,
18876,SRR6046730,,,,S,,S,,,,,S,S,
18877,SRR6045200,,,,S,,S,,,,,S,S,
18878,SRR6046558,,,,S,,S,,,,,S,S,
18879,SRR6045400,,,,S,,S,,,,,S,S,
18880,SRR6046762,,,,S,,S,,,,,,S,
18881,SRR6046064,,,,S,,S,,,,,S,S,
18882,SRR6046790,,,,S,,S,,,,,S,S,
18883,SRR6046434,,,,S,,,,,,,S,S,
18884,SRR6045774,,,,S,,S,,,,,,S,
18885,SRR6046632,,,,S,,S,,,,,S,S,
18886,SRR6045749,,,,S,,R,,,,,S,S,
18887,SRR6046135,,,,S,,S,,,,,S,S,
18888,SRR6046090,,,,S,,R,,,,,S,S,
18889,SRR6045396,,,,S,,S,,,,,S,S,
18890,SRR6045900,,,,R,,R,,,,,,R,
18891,SRR6045173,,,,S,,S,,,,,S,R,
18892,SRR6046279,,,,S,,S,,,,,S,S,
18893,SRR6045590,,,,S,,S,,,,,S,S,
18894,SRR6044784,,,,S,,S,,,,,S,S,
18895,SRR6045043,,,,S,,R,,,,,S,S,
18896,SRR6046285,,,,S,,S,,,,,S,S,
18897,SRR6046796,,,,S,,S,,,,,S,S,
18898,SRR6045342,,,,S,,S,,,,,S,S,
18899,SRR6046483,,,,S,,S,,,,,S,S,
18900,SRR6045210,,,,S,,R,,,,,S,S,
18901,SRR6046374,,,,S,,S,,,,,,S,
18902,SRR6045326,,,,S,,S,,,,,S,S,
18903,SRR6045482,,,,S,,S,,,,,S,S,
18904,SRR6046454,,,,S,,S,,,,,S,S,
18905,SRR6045872,,,,S,,S,,,,,S,S,
18906,SRR6045415,,,,S,,S,,,,,S,S,
18907,SRR6046332,,,,S,,S,,,,,S,S,
18908,SRR6044983,,,,S,,S,,,,,S,S,
18909,SRR6045425,,,,S,,S,,,,,S,S,
18910,SRR6045523,,,,S,,R,,,,,S,R,
18911,SRR6046792,,,,S,,S,,,,,S,S,
18912,SRR6046534,,,,S,,S,,,,,,S,
18913,SRR6046636,,,,S,,S,,,,,S,S,
18914,SRR6044975,,,,S,,S,,,,,S,S,
18915,SRR6045125,,,,S,,S,,,,,S,S,
18916,SRR6045777,,,,S,,S,,,,,S,S,
18917,SRR6046065,,,,S,,S,,,,,S,S,
18918,SRR6044888,,,,S,,S,,,,,S,S,
18919,SRR6046036,,,,S,,S,,,,,S,S,
18920,SRR6046458,,,,S,,S,,,,,S,S,
18921,SRR6045752,,,,S,,S,,,,,S,S,
18922,SRR6045365,,,,S,,S,,,,,S,S,
18923,SRR6045063,,,,S,,S,,,,,S,S,
18924,SRR6046898,,,,S,,S,,,,,S,S,
18925,SRR6046631,,,,S,,S,,,,,S,S,
18926,SRR6046428,,,,S,,S,,,,,,S,
18927,SRR6044872,,,,S,,S,,,,,S,S,
18928,SRR6045793,,,,S,,R,,,,,S,S,
18929,SRR6045116,,,,S,,S,,,,,S,S,
18930,SRR6046417,,,,S,,S,,,,,S,S,
18931,SRR6046652,,,,S,,S,,,,,S,S,
18932,SRR6045797,,,,S,,S,,,,,S,S,
18933,SRR6045763,,,,R,,R,,,,,R,R,
18934,SRR6045445,,,,S,,S,,,,,S,S,
18935,SRR6046076,,,,S,,S,,,,,S,S,
18936,SRR6045742,,,,S,,S,,,,,S,S,
18937,SRR6046579,,,,S,,R,,,,,S,,
18938,SRR6046785,,,,S,,S,,,,,S,S,
18939,SRR6046612,,,,S,,S,,,,,S,S,
18940,SRR6045312,,,,S,,S,,,,,S,S,
18941,SRR6044770,,,,S,,S,,,,,S,S,
18942,SRR6046057,,,,S,,S,,,,,S,S,
18943,SRR6046062,,,,S,,S,,,,,S,S,
18944,SRR6044891,,,,S,,S,,,,,S,S,
18945,SRR6046583,,,,S,,S,,,,,S,S,
18946,SRR6044945,,,,S,,R,,,,,S,S,
18947,SRR6046886,,,,S,,R,,,,,S,S,
18948,SRR6046160,,,,S,,S,,,,,S,S,
18949,SRR6046746,,,,S,,S,,,,,S,S,
18950,SRR6044957,,,,S,,S,,,,,S,S,
18951,SRR6045999,,,,S,,S,,,,,S,S,
18952,SRR6044991,,,,S,,S,,,,,S,S,
18953,SRR6045294,,,,S,,S,,,,,S,S,
18954,SRR6045642,,,,S,,S,,,,,S,S,
18955,SRR6046627,,,,S,,S,,,,,S,S,
18956,SRR6045074,,,,S,,S,,,,,S,S,
18957,SRR6045189,,,,S,,S,,,,,S,S,
18958,SRR6046112,,,,S,,S,,,,,S,S,
18959,SRR6044963,,,,S,,S,,,,,,S,
18960,SRR6046115,,,,S,,S,,,,,S,S,
18961,SRR6046431,,,,S,,S,,,,,S,S,
18962,SRR6046517,,,,S,,S,,,,,S,S,
18963,SRR6045177,,,,S,,R,,,,,S,S,
18964,SRR6045058,,,,S,,R,,,,,S,S,
18965,SRR6046646,,,,S,,S,,,,,S,S,
18966,SRR6045828,,,,S,,S,,,,,S,S,
18967,SRR6045133,,,,S,,R,,,,,S,S,
18968,SRR6045295,,,,S,,S,,,,,S,S,
18969,SRR6046701,,,,S,,S,,,,,S,S,
18970,SRR6046321,,,,S,,S,,,,,S,S,
18971,SRR6045293,,,,S,,S,,,,,S,S,
18972,SRR6045110,,,,S,,S,,,,,S,S,
18973,SRR6045473,,,,S,,S,,,,,S,S,
18974,SRR6046097,,,,S,,S,,,,,S,S,
18975,SRR6045486,,,,S,,S,,,,,S,S,
18976,SRR6044917,,,,,,,,,,,S,,
18977,SRR6046217,,,,S,,S,,,,,S,S,
18978,SRR6045335,,,,S,,S,,,,,S,S,
18979,SRR6045635,,,,S,,S,,,,,S,S,
18980,SRR6045723,,,,S,,S,,,,,S,S,
18981,SRR6045465,,,,S,,S,,,,,S,S,
18982,SRR6046870,,,,S,,S,,,,,S,S,
18983,SRR6044993,,,,S,,S,,,,,S,S,
18984,SRR6045480,,,,S,,S,,,,,S,S,
18985,SRR6046040,,,,S,,S,,,,,S,S,
18986,SRR6045209,,,,S,,S,,,,,S,S,
18987,SRR6046276,,,,S,,S,,,,,S,S,
18988,SRR6046764,,,,S,,S,,,,,S,S,
18989,SRR6046753,,,,,,S,,,,,S,S,
18990,SRR6045474,,,,S,,R,,,,,S,S,
18991,SRR6046466,,,,S,,S,,,,,S,S,
18992,SRR6045620,,,,S,,S,,,,,S,S,
18993,SRR6046343,,,,,,,,,,,S,,
18994,SRR6046067,,,,S,,S,,,,,S,S,
18995,SRR6044778,,,,S,,S,,,,,S,S,
18996,SRR6045655,,,,S,,S,,,,,S,S,
18997,SRR6045787,,,,S,,S,,,,,S,S,
18998,SRR6046868,,,,S,,R,,,,,S,S,
18999,SRR6046463,,,,S,,S,,,,,S,S,
19000,SRR6046825,,,,S,,S,,,,,S,S,
19001,SRR6045537,,,,R,,R,,,,,,R,
19002,SRR6045308,,,,S,,S,,,,,S,S,
19003,SRR6046845,,,,S,,S,,,,,S,S,
19004,SRR6045093,,,,S,,S,,,,,S,S,
19005,SRR6046440,,,,S,,S,,,,,S,S,
19006,SRR6045616,,,,S,,S,,,,,S,S,
19007,SRR6045572,,,,S,,S,,,,,S,S,
19008,SRR6046855,,,,S,,S,,,,,S,S,
19009,SRR6046403,,,,S,,S,,,,,S,S,
19010,SRR6045730,,,,S,,S,,,,,S,S,
19011,SRR6045304,,,,S,,S,,,,,S,S,
19012,SRR6046179,,,,S,,R,,,,,S,S,
19013,SRR6046391,,,,S,,S,,,,,S,S,
19014,SRR6045621,,,,S,,S,,,,,,S,
19015,SRR6046602,,,,S,,R,,,,,S,S,
19016,SRR6046761,,,,S,,S,,,,,S,S,
19017,SRR6045835,,,,S,,S,,,,,S,S,
19018,SRR6045981,,,,S,,S,,,,,S,S,
19019,SRR6045419,,,,S,,S,,,,,S,S,
19020,SRR6045545,,,,S,,R,,,,,S,S,
19021,SRR6046020,,,,S,,S,,,,,S,S,
19022,SRR6045356,,,,S,,S,,,,,S,S,
19023,SRR6045108,,,,S,,S,,,,,S,S,
19024,SRR6046658,,,,S,,S,,,,,S,S,
19025,SRR6044769,,,,S,,S,,,,,S,S,
19026,SRR6045464,,,,S,,S,,,,,S,S,
19027,SRR6044939,,,,S,,S,,,,,S,S,
19028,SRR6046176,,,,S,,S,,,,,S,S,
19029,SRR6045543,,,,S,,S,,,,,S,S,
19030,SRR6045119,,,,S,,S,,,,,S,S,
19031,SRR6046642,,,,S,,S,,,,,S,S,
19032,SRR6046189,,,,S,,S,,,,,S,S,
19033,SRR6046556,,,,S,,R,,,,,S,S,
19034,SRR6046752,,,,S,,S,,,,,S,S,
19035,SRR6045238,,,,S,,S,,,,,S,S,
19036,SRR6046308,,,,S,,S,,,,,S,S,
19037,SRR6046113,,,,S,,S,,,,,S,S,
19038,SRR6045894,,,,S,,S,,,,,S,S,
19039,SRR6045936,,,,S,,S,,,,,S,S,
19040,SRR6045604,,,,S,,,,,,,,S,
19041,SRR6045218,,,,S,,S,,,,,S,S,
19042,SRR6045930,,,,S,,S,,,,,S,S,
19043,SRR6045597,,,,S,,S,,,,,,S,
19044,SRR6045505,,,,S,,S,,,,,S,S,
19045,SRR6044807,,,,S,,S,,,,,S,S,
19046,SRR6046078,,,,S,,S,,,,,S,S,
19047,SRR6046436,,,,S,,S,,,,,S,S,
19048,SRR6046601,,,,,,S,,,,,S,S,
19049,SRR6045237,,,,S,,S,,,,,S,S,
19050,SRR6046219,,,,S,,S,,,,,S,S,
19051,SRR6045460,,,,S,,S,,,,,S,S,
19052,SRR6046171,,,,S,,S,,,,,S,S,
19053,SRR6046592,,,,S,,S,,,,,S,S,
19054,SRR6045159,,,,S,,S,,,,,S,S,
19055,SRR6046683,,,,S,,S,,,,,S,S,
19056,SRR6045735,,,,S,,S,,,,,S,S,
19057,SRR6045333,,,,S,,S,,,,,S,S,
19058,SRR6045799,,,,S,,S,,,,,S,S,
19059,SRR6046415,,,,S,,S,,,,,S,S,
19060,SRR6046208,,,,S,,S,,,,,S,S,
19061,SRR6046528,,,,S,,S,,,,,S,S,
19062,SRR6045817,,,,S,,S,,,,,S,S,
19063,SRR6046435,,,,,,R,,,,,S,S,
19064,SRR6045181,,,,S,,S,,,,,S,S,
19065,SRR6044905,,,,S,,S,,,,,S,S,
19066,SRR6045206,,,,S,,,,,,,S,S,
19067,SRR6044847,,,,S,,S,,,,,S,S,
19068,SRR6044774,,,,S,,S,,,,,S,S,
19069,SRR6045240,,,,S,,S,,,,,S,S,
19070,SRR6046273,,,,S,,S,,,,,S,S,
19071,SRR6046105,,,,S,,S,,,,,S,S,
19072,SRR6046145,,,,S,,S,,,,,S,S,
19073,SRR6046351,,,,S,,S,,,,,S,S,
19074,SRR6045321,,,,S,,S,,,,,S,S,
19075,SRR6045614,,,,S,,S,,,,,S,S,
19076,SRR6045241,,,,S,,S,,,,,S,S,
19077,SRR6044916,,,,S,,S,,,,,S,S,
19078,SRR6045544,,,,S,,S,,,,,S,S,
19079,SRR6045608,,,,S,,S,,,,,S,S,
19080,SRR6044829,,,,S,,S,,,,,S,S,
19081,SRR6045950,,,,S,,S,,,,,S,S,
19082,SRR6046717,,,,S,,S,,,,,S,S,
19083,SRR6046756,,,,S,,S,,,,,S,S,
19084,SRR6044805,,,,S,,S,,,,,S,S,
19085,SRR6045849,,,,S,,S,,,,,S,S,
19086,SRR6045453,,,,S,,S,,,,,S,S,
19087,SRR6046038,,,,S,,R,,,,,S,S,
19088,SRR6046096,,,,S,,,,,,,,S,
19089,SRR6045912,,,,S,,S,,,,,S,S,
19090,SRR6045563,,,,S,,S,,,,,S,S,
19091,SRR6045198,,,,S,,S,,,,,S,S,
19092,SRR6046364,,,,S,,S,,,,,S,S,
19093,SRR6044768,,,,S,,S,,,,,S,S,
19094,SRR6045376,,,,S,,R,,,,,S,S,
19095,SRR6045934,,,,S,,R,,,,,S,S,
19096,SRR6045547,,,,S,,S,,,,,S,S,
19097,SRR6046850,,,,S,,S,,,,,S,S,
19098,SRR6046442,,,,S,,S,,,,,S,S,
19099,SRR6045138,,,,S,,S,,,,,S,S,
19100,SRR6046645,,,,S,,S,,,,,S,S,
19101,SRR6046221,,,,S,,R,,,,,S,S,
19102,SRR6045958,,,,S,,,,,,,,,
19103,SRR6045362,,,,S,,S,,,,,S,S,
19104,SRR6045492,,,,S,,S,,,,,S,S,
19105,SRR6045485,,,,S,,S,,,,,S,S,
19106,SRR6046576,,,,S,,S,,,,,S,S,
19107,SRR6045944,,,,S,,S,,,,,S,S,
19108,SRR6045947,,,,S,,S,,,,,S,S,
19109,SRR6045056,,,,S,,S,,,,,S,S,
19110,SRR6045199,,,,S,,S,,,,,S,S,
19111,SRR6045552,,,,S,,S,,,,,S,S,
19112,SRR6046782,,,,S,,S,,,,,S,S,
19113,SRR6045593,,,,S,,S,,,,,S,S,
19114,SRR6046430,,,,S,,S,,,,,S,S,
19115,SRR6046838,,,,S,,S,,,,,S,R,
19116,SRR6045945,,,,S,,R,,,,,S,,
19117,SRR6045660,,,,S,,S,,,,,S,S,
19118,SRR5837706,,,,R,,R,,,,,,R,
19119,SRR5837712,,,,S,,R,,,,,,R,
19120,SRR5817464,,,,R,,R,,,,,R,R,
19121,SRR5817463,,,,S,,R,,,,,S,R,
19122,SRR5817467,,,,S,,R,,,,,S,R,
19123,SRR5817472,,,,R,,R,,,,,R,R,
19124,SRR5817473,,,,S,,R,,,,,R,R,
19125,SRR5817475,,,,S,,R,,,,,S,R,
19126,SRR5817478,,,,S,,R,,,,,R,R,
19127,SRR5817479,,,,S,,R,,,,,R,R,
19128,SRR5710027,,,,R,,R,,,,,,R,
19129,SRR5710026,,,,R,,R,,,,,,R,
19130,SRR5709872,,,,R,,R,,,,,,R,
19131,SRR5709766,,,,,,R,,,,,,R,
19132,SRR5709767,,,,,,R,,,,,,R,
19133,SRR5709900,,,,,,S,,,,,,R,
19134,SRR5709886,,,,R,,R,,,,,,R,
19135,SRR5709888,,,,S,,R,,,,,,R,
19136,SRR5709887,,,,R,,R,,,,,,R,
19137,SRR5709890,,,,R,,R,,,,,,R,
19138,SRR5709889,,,,S,,R,,,,,,R,
19139,SRR5709902,,,,R,,R,,,,,,R,
19140,SRR5709933,,,,R,,R,,,,,,R,
19141,SRR5709832,,,,S,,R,,,,,,S,
19142,SRR5709853,,,,S,,R,,,,,,S,
19143,SRR5709854,,,,S,,S,,,,,,S,
19144,SRR5709855,,,,S,,S,,,,,,S,
19145,SRR5709747,,,,S,,S,,,,,,S,
19146,SRR5709746,,,,S,,S,,,,,,S,
19147,SRR5709740,,,,S,,S,,,,,,S,
19148,SRR5709742,,,,S,,S,,,,,,S,
19149,SRR5709778,,,,S,,S,,,,,,S,
19150,SRR5709779,,,,S,,S,,,,,,S,
19151,SRR5709787,,,,S,,S,,,,,,S,
19152,SRR5709804,,,,S,,S,,,,,,S,
19153,SRR5709978,,,,S,,S,,,,,,S,
19154,SRR5709977,,,,S,,S,,,,,,S,
19155,SRR5709972,,,,S,,S,,,,,,S,
19156,SRR5709998,,,,S,,R,,,,,,S,
19157,SRR5710001,,,,S,,S,,,,,,S,
19158,SRR5710006,,,,S,,S,,,,,,S,
19159,SRR5709973,,,,S,,S,,,,,,S,
19160,SRR5709985,,,,S,,S,,,,,,S,
19161,SRR5709979,,,,S,,S,,,,,,S,
19162,SRR5709981,,,,S,,S,,,,,,S,
19163,SRR5709982,,,,S,,S,,,,,,S,
19164,SRR5709936,,,,S,,S,,,,,,S,
19165,SRR5709941,,,,S,,S,,,,,,S,
19166,SRR5709946,,,,S,,S,,,,,,S,
19167,SRR5709945,,,,S,,S,,,,,,S,
19168,SRR5709944,,,,S,,S,,,,,,S,
19169,SRR5709958,,,,S,,S,,,,,,S,
19170,SRR5709956,,,,S,,S,,,,,,S,
19171,SRR5709952,,,,S,,R,,,,,,R,
19172,SRR5709950,,,,R,,R,,,,,,R,
19173,SRR5709951,,,,S,,R,,,,,,R,
19174,SRR5709915,,,,R,,R,,,,,,R,
19175,SRR5709906,,,,S,,R,,,,,,R,
19176,SRR5709881,,,,S,,R,,,,,,R,
19177,SRR5709882,,,,S,,R,,,,,,R,
19178,SRR5709877,,,,,,R,,,,,,R,
19179,SRR5709847,,,,R,,R,,,,,,R,
19180,SRR5709845,,,,S,,R,,,,,,R,
19181,SRR5709842,,,,R,,R,,,,,,R,
19182,SRR5709806,,,,,,R,,,,,,R,
19183,SRR5709809,,,,R,,R,,,,,,R,
19184,SRR5709807,,,,,,R,,,,,,R,
19185,SRR5709812,,,,,,R,,,,,,R,
19186,SRR5709770,,,,,,R,,,,,,R,
19187,SRR5709777,,,,R,,R,,,,,,R,
19188,SRR5709776,,,,R,,R,,,,,,R,
19189,SRR5709969,,,,R,,R,,,,,,R,
19190,SRR5709965,,,,R,,R,,,,,,R,
19191,SRR5709961,,,,R,,R,,,,,,R,
19192,SRR5709963,,,,S,,R,,,,,,R,
19193,SRR5709930,,,,R,,R,,,,,,R,
19194,SRR5709929,,,,S,,R,,,,,,R,
19195,SRR5709923,,,,R,,R,,,,,,R,
19196,SRR5709922,,,,R,,R,,,,,,R,
19197,SRR5709927,,,,R,,R,,,,,,R,
19198,SRR5709925,,,,S,,R,,,,,,R,
19199,SRR5709924,,,,S,,R,,,,,,R,
19200,SRR5709837,,,,S,,R,,,,,,R,
19201,SRR5710025,,,,S,,R,,,,,,R,
19202,SRR5709992,,,,S,,R,,,,,,R,
19203,SRR5709994,,,,S,,R,,,,,,R,
19204,SRR5710009,,,,R,,R,,,,,,R,
19205,SRR5710010,,,,S,,R,,,,,,R,
19206,SRR5709820,,,,R,,R,,,,,,R,
19207,SRR5709819,,,,R,,R,,,,,,R,
19208,SRR5709862,,,,R,,R,,,,,,R,
19209,SRR5709863,,,,R,,R,,,,,,R,
19210,SRR5709896,,,,S,,R,,,,,,R,
19211,SRR5709895,,,,R,,R,,,,,,R,
19212,SRR5709898,,,,S,,R,,,,,,R,
19213,SRR5709750,,,,S,,S,,,,,,R,
19214,SRR5709803,,,,R,,R,,,,,,R,
19215,SRR5709748,,,,,,R,,,,,,R,
19216,SRR5709749,,,,,,S,,,,,,R,
19217,SRR5709870,,,,R,,R,,,,,,R,
19218,SRR5709991,,,,,,R,,,,,,R,
19219,SRR5709989,,,,,,R,,,,,,R,
19220,SRR5709839,,,,,,R,,,,,,R,
19221,SRR5709996,,,,R,,R,,,,,,R,
19222,SRR5709815,,,,,,R,,,,,,R,
19223,SRR5710015,,,,,,R,,,,,,R,
19224,SRR5710023,,,,R,,R,,,,,,R,
19225,SRR5709759,,,,R,,R,,,,,,R,
19226,SRR5709756,,,,R,,R,,,,,,R,
19227,SRR5709754,,,,S,,R,,,,,,R,
19228,SRR5709802,,,,R,,R,,,,,,R,
19229,SRR5709793,,,,R,,R,,,,,,R,
19230,SRR5709799,,,,R,,R,,,,,,R,
19231,SRR5709796,,,,R,,R,,,,,,R,
19232,SRR5709797,,,,R,,R,,,,,,R,
19233,SRR5709916,,,,R,,R,,,,,,R,
19234,SRR5709917,,,,S,,R,,,,,,R,
19235,SRR5709918,,,,R,,R,,,,,,R,
19236,SRR5709919,,,,R,,R,,,,,,R,
19237,SRR3675589,,,,S,,S,,,,,S,S,
19238,SRR3675587,,,,S,,S,,,,,S,S,
19239,SRR3675579,,,,S,,S,,,,,S,S,
19240,SRR3675578,,,,S,,S,,,,,S,S,
19241,SRR3675573,,,,S,,S,,,,,S,S,
19242,SRR3675538,,,,S,,S,,,,,S,S,
19243,SRR3675533,,,,S,,S,,,,,S,S,
19244,SRR3675532,,,,S,,S,,,,,S,S,
19245,SRR3675531,,,,S,,S,,,,,S,S,
19246,SRR3675519,,,,S,,S,,,,,S,S,
19247,SRR3675511,,,,S,,S,,,,,S,S,
19248,SRR3675500,,,,S,,S,,,,,S,S,
19249,SRR3675498,,,,S,,S,,,,,S,S,
19250,SRR3675489,,,,S,,S,,,,,S,S,
19251,SRR3675469,,,,S,,S,,,,,S,S,
19252,SRR3675459,,,,S,,S,,,,,S,S,
19253,SRR3675458,,,,S,,S,,,,,S,S,
19254,SRR3675391,,,,S,,S,,,,,S,S,
19255,SRR3675274,,,,S,,S,,,,,S,S,
19256,SRR3675273,,,,S,,S,,,,,S,S,
19257,SRR3675250,,,,S,,S,,,,,S,S,
19258,SRR3675244,,,,S,,S,,,,,S,S,
19259,SRR3675239,,,,S,,S,,,,,S,S,
19260,SRR3675225,,,,S,,S,,,,,S,S,
19261,SRR3675224,,,,S,,S,,,,,S,S,
19262,SRR3675218,,,,R,,R,,,,,R,S,
19263,SRR3675217,,,,R,,R,,,,,S,R,
19264,SRR2333215,,,,S,,R,,,,,R,R,
19265,SRR2328057,,,,S,,R,,,,,R,S,
19266,SRR2024905,,,,R,,R,,,,,,R,
19267,SRR2024904,,,,R,,R,,,,,,R,
19268,SRR2024902,,,,R,,R,,,,,,R,
19269,SRR2024900,,,,R,,R,,,,,,R,
19270,SRR2024899,,,,R,,R,,,,,,R,
19271,SRR2024898,,,,S,,R,,,,,,R,
19272,SRR2024896,,,,R,,R,,,,,,R,
19273,SRR2024895,,,,S,,R,,,,,,R,
19274,SRR2024894,,,,R,,R,,,,,,R,
19275,SRR2024893,,,,R,,R,,,,,,R,
19276,SRR2024891,,,,S,,R,,,,,,R,
19277,SRR2024890,,,,R,,R,,,,,,R,
19278,SRR2024889,,,,R,,R,,,,,,R,
19279,SRR2024888,,,,R,,R,,,,,,R,
19280,SRR2024887,,,,R,,R,,,,,,R,
19281,SRR2024886,,,,R,,R,,,,,,R,
19282,SRR2024884,,,,S,,R,,,,,,R,
19283,SRR2024883,,,,S,,R,,,,,,R,
19284,SRR2024882,,,,R,,R,,,,,,R,
19285,SRR2025000,,,,R,,R,,,,,,R,
19286,SRR2024999,,,,R,,R,,,,,R,R,
19287,SRR2024998,,,,S,,R,,,,,,R,
19288,SRR2024997,,,,R,,R,,,,,,R,
19289,SRR2024996,,,,S,,R,,,,,,R,
19290,SRR2024995,,,,S,,R,,,,,,R,
19291,SRR2024994,,,,R,,R,,,,,,R,
19292,SRR2024993,,,,R,,R,,,,,,R,
19293,SRR2024992,,,,R,,R,,,,,,R,
19294,SRR2024991,,,,R,,R,,,,,,R,
19295,SRR2024989,,,,S,,R,,,,,,R,
19296,SRR2024988,,,,R,,R,,,,,,R,
19297,SRR2024987,,,,S,,R,,,,,,R,
19298,SRR2024986,,,,S,,R,,,,,,R,
19299,SRR2024985,,,,S,,R,,,,,,R,
19300,SRR2024984,,,,R,,R,,,,,,R,
19301,SRR2024983,,,,R,,R,,,,,,R,
19302,SRR2024982,,,,R,,R,,,,,,R,
19303,SRR2024981,,,,,,,,,,,S,,
19304,SRR2024980,,,,S,,R,,,,,,R,
19305,SRR2024978,,,,S,,R,,,,,,R,
19306,SRR2024977,,,,R,,R,,,,,,R,
19307,SRR2024976,,,,S,,R,,,,,,R,
19308,SRR2024975,,,,S,,R,,,,,,R,
19309,SRR2024974,,,,S,,R,,,,,,R,
19310,SRR2024973,,,,S,,R,,,,,,R,
19311,SRR2024972,,,,S,,R,,,,,,R,
19312,SRR2024971,,,,S,,R,,,,,,R,
19313,SRR2024970,,,,R,,R,,,,,,R,
19314,SRR2024967,,,,R,,R,,,,,,R,
19315,SRR2024966,,,,R,,R,,,,,,R,
19316,SRR2024965,,,,,,R,,,,,R,R,
19317,SRR2024964,,,,R,,R,,,,,,R,
19318,SRR2024963,,,,R,,R,,,,,,R,
19319,SRR2024962,,,,R,,R,,,,,,R,
19320,SRR2024961,,,,R,,R,,,,,,R,
19321,SRR2024960,,,,S,,R,,,,,,R,
19322,SRR2024959,,,,R,,R,,,,,,R,
19323,SRR2024958,,,,R,,R,,,,,,R,
19324,SRR2024956,,,,R,,R,,,,,,R,
19325,SRR2024955,,,,R,,R,,,,,,R,
19326,SRR2024954,,,,R,,R,,,,,,R,
19327,SRR2024952,,,,R,,R,,,,,,R,
19328,SRR2024951,,,,R,,R,,,,,,R,
19329,SRR2024950,,,,S,,R,,,,,,R,
19330,SRR2024948,,,,R,,R,,,,,R,R,
19331,SRR2024947,,,,R,,R,,,,,,R,
19332,SRR2024945,,,,S,,R,,,,,,R,
19333,SRR2024944,,,,S,,R,,,,,,R,
19334,SRR2024943,,,,S,,R,,,,,,R,
19335,SRR2024942,,,,R,,R,,,,,,R,
19336,SRR2024941,,,,R,,R,,,,,,R,
19337,SRR2024940,,,,S,,R,,,,,,R,
19338,SRR2024939,,,,R,,R,,,,,,R,
19339,SRR2024938,,,,R,,R,,,,,,R,
19340,SRR2024937,,,,S,,R,,,,,,R,
19341,SRR2024936,,,,S,,R,,,,,S,R,
19342,SRR2024934,,,,R,,R,,,,,,R,
19343,SRR2024933,,,,S,,R,,,,,,R,
19344,SRR2024932,,,,S,,R,,,,,,R,
19345,SRR2024931,,,,R,,R,,,,,,R,
19346,SRR2024930,,,,R,,R,,,,,,R,
19347,SRR2024929,,,,S,,R,,,,,,R,
19348,SRR2024928,,,,S,,R,,,,,,R,
19349,SRR2024927,,,,R,,R,,,,,,R,
19350,SRR2024926,,,,S,,R,,,,,,R,
19351,SRR2024925,,,,S,,R,,,,,,R,
19352,SRR2024923,,,,R,,R,,,,,,R,
