Drug,Lineage,Percentage of Strains that are Resistant,Number of Resistant Strains,Number of Susceptible Strains,No Results
emb,"1.1.2,1.2.2",0.0,0,0,1
emb,"1.1.2,3",0.0,0,0,2
emb,"1.1.2,4",16.666666666666668,1,1,4
emb,"1.1.2,4.3.2.1",0.0,0,1,0
emb,"1.1.2,4.4",0.0,0,1,0
emb,1.1.3,0.967741935483871,3,57,250
emb,"1.1.3,1.1.2",0.0,0,2,1
emb,"1.1.3,2.2.1.2",0.0,0,0,1
emb,"1.1.3,3",0.0,0,0,1
emb,"1.1.3,4.1.1.1",0.0,0,0,1
emb,"1.1.3,4.5",0.0,0,1,0
emb,1.2.1,1.8181818181818181,5,263,7
emb,1.2.2,11.646586345381525,29,118,102
emb,"1.2.2,3.1.2",100.0,1,0,0
emb,2,0.0,0,0,1
emb,"2,4.3.2.1",0.0,0,0,1
emb,2.1,42.10526315789474,8,9,2
emb,"2.2,3",0.0,0,1,0
emb,"2.2,4.3.2.1",0.0,0,1,0
emb,2.2.1,18.702770780856422,297,743,548
emb,"2.2.1,1.2.2",0.0,0,1,0
emb,"2.2.1,3",0.0,0,2,0
emb,"2.2.1,4",0.0,0,3,0
emb,"2.2.1,4.1.1.1",0.0,0,1,0
emb,"2.2.1,4.1.1.3",0.0,0,1,0
emb,"2.2.1,4.3.2.1",0.0,0,1,0
emb,"2.2.1,4.3.4.2",0.0,0,0,1
emb,"2.2.1,4.8",0.0,0,2,0
emb,"2.2.1,6,BOV_AFRI",0.0,0,1,0
emb,"2.2.1,BOV_AFRI",0.0,0,0,1
emb,2.2.1.1,16.374269005847953,28,95,48
emb,2.2.1.2,20.833333333333332,5,10,9
emb,2.2.2,36.507936507936506,46,45,35
emb,3,12.152501985702939,153,859,247
emb,"3,4",100.0,1,0,0
emb,3.1.1,0.0,0,99,39
emb,3.1.2,5.2631578947368425,4,59,13
emb,3.1.2.1,10.204081632653061,5,32,12
emb,3.1.2.2,0.0,0,17,0
emb,"3.1.2.2,1.1.1",0.0,0,0,1
emb,4,20.833333333333332,10,24,14
emb,4.1,16.129032258064516,10,37,15
emb,"4.1,1.2.2",0.0,0,0,1
emb,"4.1,2.2.1,4.8",0.0,0,1,0
emb,4.1.1,15.555555555555555,7,28,10
emb,4.1.1.1,2.2988505747126435,4,123,47
emb,"4.1.1.1,2.2",0.0,0,1,0
emb,4.1.1.2,2.1739130434782608,1,39,6
emb,4.1.1.3,12.982456140350877,37,148,100
emb,4.1.2,2.6785714285714284,3,71,38
emb,"4.1.2,1.2.2",0.0,0,1,0
emb,"4.1.2,4.2.2",0.0,0,0,1
emb,4.1.2.1,7.518796992481203,50,480,135
