,ID,Drug,Resistant,Lineage
93890,TB-MoldovaSeq-DNA0251-3969_S61_ndc,str,1,4.2.1
93903,TB-MoldovaSeq-DNA164-1514_S165_ndc,str,1,4.2.1
93916,TB-MoldovaSeq-DNA082-1082_S82_ndc,str,1,4.2.1
94020,TB-MoldovaSeq-DNA0219-4548_S29_ndc,str,1,4.2.1
94046,TB-MoldovaSeq-DNA184-2841_S185_ndc,str,1,4.2.1
94189,TB-MoldovaSeq-DNA185-2529_S186_ndc,str,1,4.2.1
94202,TB-MoldovaSeq-DNA170-2377_S171_ndc,str,1,4.2.1
94293,TB-MoldovaSeq-DNA0213-2033_S23_ndc,str,1,4.2.1
94345,TB-MoldovaSeq-DNA086-784_S86_ndc,str,1,4.2.1
94371,TB-MoldovaSeq-DNA028-38_S28_ndc,str,1,4.2.1
94384,TB-MoldovaSeq-DNA043-429_S43_ndc,str,1,4.2.1
94436,TB-MoldovaSeq-DNA065-421_S65_ndc,str,1,4.2.1
94592,TB-MoldovaSeq-DNA0288-5509_S291_ndc,str,1,4.2.1
94683,TB-MoldovaSeq-DNA0312-4978_S315_ndc,str,1,4.2.1
94722,TB-MoldovaSeq-DNA0211-2993_S21_ndc,str,1,4.2.1
94735,TB-MoldovaSeq-DNA172-2312_S173_ndc,str,1,4.2.1
94917,TB-MoldovaSeq-DNA068-653_S68_ndc,str,1,4.2.1
94982,TB-MoldovaSeq-DNA095-339_S95_ndc,str,1,4.2.1
95073,TB-MoldovaSeq-DNA037-350_S37_ndc,str,1,4.2.1
95099,TB-MoldovaSeq-DNA090-620_S90_ndc,str,1,4.2.1
95190,TB-MoldovaSeq-DNA010-142_S10_ndc,str,1,4.2.1
95216,TB-MoldovaSeq-DNA077-757_S77_ndc,str,1,4.2.1
95736,TB-MoldovaSeq-DNA0233-4840_S235_ndc,str,1,4.2.1
95840,TB-MoldovaSeq-DNA186-3071_S187_ndc,str,1,4.2.1
102483,1733.2280_res,str,1,4.2.1
103159,1733.1209_res,str,1,4.2.1
103276,1733.3075_res,str,1,4.2.1
103887,TB-111-18657-18-138_S47_R.all,str,1,4.2.1
104056,TB-111-16777-18_S100_R.all,str,1,4.2.1
104082,TB-111-24701-18F_S28_R.all,str,1,4.2.1
104134,TB-111-17797-18_S133_R.all,str,1,4.2.1
104160,TB-111-24233-18F_S232_R.all,str,1,4.2.1
104251,TB-111-18657-18-138_S24_R.all,str,1,4.2.1
104446,TB-111-23689-18F-138_S142_R.all,str,1,4.2.1
104485,TB-111-19340-19_S114_R.all,str,1,4.2.1
104550,TB-111-18671-18_S61_R.all,str,1,4.2.1
104641,TB-111-19390-18_S119_R.all,str,1,4.2.1
104654,TB-111-17916-18_S120_R.all,str,1,4.2.1
104706,TB-111-16694-19_S61_R.all,str,1,4.2.1
104771,TB-111-23658-18F_S22_R.all,str,1,4.2.1
104849,TB-111-18751-18-138_S50_R.all,str,1,4.2.1
104914,TB-111-19708-18_S166_R.all,str,1,4.2.1
104927,TB-111-23920-18F_S44_R.all,str,1,4.2.1
105005,TB-111-24047-18F_S25_R.all,str,1,4.2.1
105408,TB-111-18771-18_S47_R.all,str,1,4.2.1
105486,TB-111-23689-18F-138_S62_R.all,str,1,4.2.1
105512,TB-111-16552-18_S32_R.all,str,1,4.2.1
47675,TB-111-12039-18_S255_R.all,str,0,"4.2.1,2.2.1"
19829,TB-333-1942-19_S116_R.all,str,1,"4.2.1,2.2.1"
20063,TB-333-2090-19_S8_R.all,str,1,"4.2.1,2.2.1"
22351,TB-333-1044-19_S51_R.all,str,1,"4.2.1,2.2.1"
43632,TB-111-14831-19_S109_R.all,str,1,"4.2.1,2.2.1"
50951,TB-111-14611-19_S157_R.all,str,1,"4.2.1,2.2.1"
51172,TB-111-20001-18_S6_R.all,str,1,"4.2.1,2.2.1"
51666,TB-111-274-19_S256_R.all,str,1,"4.2.1,2.2.1"
52355,TB-111-6092-19_S260_R.all,str,1,"4.2.1,2.2.1"
93331,TB-MoldovaSeq-DNA074-473_S74_ndc,str,1,"4.2.1,2.2.1"
93799,TB-MoldovaSeq-DNA0291-5375_S294_ndc,str,1,"4.2.1,2.2.1"
94124,TB-MoldovaSeq-DNA045-570_S45_ndc,str,1,"4.2.1,2.2.1"
94761,TB-MoldovaSeq-DNA0289-4185_S292_ndc,str,1,"4.2.1,2.2.1"
105174,TB-111-19374-19_S36_R.all,str,1,"4.2.1,2.2.1"
105395,TB-111-20451-19_S48_R.all,str,1,"4.2.1,2.2.1"
52732,TB-111-13950-18_S77_R.all,str,1,"4.2.1,2.2.1,4.8"
50665,TB-111-1233-19-138_S102_R.all,str,0,"4.2.1,4.9"
420,Italian1,str,0,4.2.1.1.1.1.1.1.i1
667,TEST0039,str,0,4.2.1.1.1.1.1.1.i1
680,TEST0072,str,0,4.2.1.1.1.1.1.1.i1
706,TEST0035,str,0,4.2.1.1.1.1.1.1.i1
771,TEST0070,str,0,4.2.1.1.1.1.1.1.i1
849,TEST0068,str,0,4.2.1.1.1.1.1.1.i1
966,TEST0067,str,0,4.2.1.1.1.1.1.1.i1
1005,TEST0032,str,0,4.2.1.1.1.1.1.1.i1
3956,Test070,str,0,4.2.1.1.1.1.1.1.i1
4047,Test072,str,0,4.2.1.1.1.1.1.1.i1
4177,Test032,str,0,4.2.1.1.1.1.1.1.i1
4346,Test068,str,0,4.2.1.1.1.1.1.1.i1
4476,Test035,str,0,4.2.1.1.1.1.1.1.i1
4554,Test067,str,0,4.2.1.1.1.1.1.1.i1
4619,Test012,str,0,4.2.1.1.1.1.1.1.i1
4762,Test039,str,0,4.2.1.1.1.1.1.1.i1
5022,Test200,str,0,4.2.1.1.1.1.1.1.i1
5139,Test155,str,0,4.2.1.1.1.1.1.1.i1
6153,Test126,str,0,4.2.1.1.1.1.1.1.i1
10209,ERR257895,str,0,4.2.1.1.1.1.1.1.i1
12016,Test871,str,0,4.2.1.1.1.1.1.1.i1
12315,ERR257901,str,0,4.2.1.1.1.1.1.1.i1
12614,CS5624-LDJ7631-W1_L3_1.fq.sorted,str,0,4.2.1.1.1.1.1.1.i1
12666,S0186_C,str,0,4.2.1.1.1.1.1.1.i1
12848,S0201_C,str,0,4.2.1.1.1.1.1.1.i1
