,Drug,Lineage,Percentage of Strains that are Resistant,Number of Resistant Strains,Number of Susceptible Strains
1178,levo,1.1.2,0.0,0,2
1179,levo,1.1.2(1/1),3.592814371257485,6,161
1180,levo,"1.1.2(1/1),2.2.1.1.1(1/1)",50.0,1,1
1181,levo,"1.1.2(1/1),4(1/1)",0.0,0,1
1182,levo,1.2.1.1.1(1/1),0.0,0,29
1183,levo,1.2.1.1.2(1/1),0.0,0,7
1184,levo,1.2.1.2(1/1),0.0,0,1
1185,levo,"1.2.2(1/1),4(1/1)",0.0,0,2
1186,levo,"1.2.2(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
1187,levo,1.2.2.1,0.0,0,2
1188,levo,1.2.2.1(1/1),4.166666666666667,3,69
1189,levo,"1.2.2.1(1/1),1.1.2(1/1)",0.0,0,1
1190,levo,"1.2.2.1(1/1),2.2.1.1.1(1/1)",100.0,1,0
1191,levo,"1.2.2.1(1/1),4(1/1)",0.0,0,1
1192,levo,"1.2.2.1(1/1),4.2.1.2.1.1.i3.1(1/1),4.1.i1.1.1.1(1/1),2.2.1.1.1(1/1),4.2.1.2.1.1.i3.2(1/1),4.1.i1.1.2(1/1),1.1.1.2.i1(1/1),3.1.1.i1(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
1193,levo,1.2.2.2,0.0,0,15
1194,levo,1.2.2.2(1/1),0.0,0,4
1195,levo,2.1(1/1),40.0,2,3
1196,levo,2.2.1,0.0,0,1
1197,levo,2.2.1(1/1),0.0,0,2
1198,levo,2.2.1.1(1/1),0.0,0,2
1199,levo,"2.2.1.1(1/1),4.2.1.1.1.1.1.1.i2(1/1)",33.333333333333336,1,2
1200,levo,"2.2.1.1(1/1),4.2.2.2.1(1/1)",100.0,1,0
1201,levo,2.2.1.1.1,34.78260869565217,8,15
1202,levo,2.2.1.1.1(1/1),12.515910055154858,295,2062
1203,levo,"2.2.1.1.1(1/1),2.2.1.1.2(1/1)",0.0,0,1
1204,levo,"2.2.1.1.1(1/1),3.1.1.i1(1/1)",0.0,0,1
1205,levo,"2.2.1.1.1(1/1),4(1/1)",50.0,1,1
1206,levo,"2.2.1.1.1(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
1207,levo,"2.2.1.1.1(1/1),4.2.1.2.1.1(1/1)",0.0,0,1
1208,levo,"2.2.1.1.1(1/1),4.2.1.2.1.1.i1(1/1)",0.0,0,6
1209,levo,2.2.1.1.1.i1(1/1),11.11111111111111,1,8
1210,levo,2.2.1.1.1.i2(1/1),10.0,1,9
1211,levo,2.2.1.1.1.i3(1/1),10.981912144702843,85,689
1212,levo,2.2.1.1.2,0.0,0,1
1213,levo,2.2.1.1.2(1/1),5.405405405405405,4,70
1214,levo,2.2.1.2(1/1),0.0,0,7
1215,levo,"2.2.1.2(1/1),3.1(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
1216,levo,2.2.2,74.50980392156863,38,13
1217,levo,2.2.2(1/1),20.0,40,160
1218,levo,"2.2.2(1/1),3.2.2(1/1)",0.0,0,1
1219,levo,"2.2.2,2.2.1.1.1",0.0,0,1
1220,levo,3(1/1),0.0,0,3
1221,levo,"3(1/1),4(1/1)",0.0,0,1
1222,levo,"3(1/1),4.2.1.1.1.1.1.1.i2(1/1)",100.0,1,0
1223,levo,3.1(1/1),0.0,0,5
1224,levo,"3.1(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
1225,levo,3.1.1,0.0,0,3
1226,levo,3.1.1(1/1),13.385826771653543,34,220
1227,levo,"3.1.1(1/1),2.2.1.1.1(1/1)",33.333333333333336,1,2
1228,levo,"3.1.1(1/1),4.1.i1.1.1.1(1/1)",0.0,0,1
1229,levo,"3.1.1(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
1230,levo,"3.1.1(1/1),4.2.1.1.1.2.1.1(1/1)",0.0,0,1
1231,levo,3.1.1.i1,0.0,0,1
1232,levo,3.1.1.i1(1/1),3.7037037037037037,1,26
1233,levo,3.1.1.i2(1/1),10.869565217391305,5,41
1234,levo,3.1.2(1/1),0.0,0,4
1235,levo,3.2(1/1),0.0,0,1
1236,levo,3.2.1(1/1),0.0,0,2
1237,levo,3.2.2(1/1),0.0,0,4
1238,levo,4,0.0,0,1
1239,levo,4(1/1),10.76923076923077,7,58
1240,levo,4.1(1/1),0.0,0,1
1241,levo,4.1.i1.1.1(1/1),0.0,0,2
1242,levo,4.1.i1.1.1.1,11.11111111111111,1,8
1243,levo,4.1.i1.1.1.1(1/1),3.8076152304609217,19,480
1244,levo,"4.1.i1.1.1.1(1/1),2.2.1.1.1(1/1)",0.0,0,5
1245,levo,"4.1.i1.1.1.1(1/1),2.2.1.1.1.i3(1/1)",0.0,0,3
1246,levo,"4.1.i1.1.1.1(1/1),4.2.1.2.1.1.i4.1(1/1)",0.0,0,3
1247,levo,"4.1.i1.1.1.1(1/1),4.2.1.2.2.1(1/1)",0.0,0,1
1248,levo,"4.1.i1.1.1.1(1/1),4.2.2.2.1(1/1)",0.0,0,1
1249,levo,4.1.i1.1.1.2(1/1),14.285714285714286,1,6
1250,levo,4.1.i1.1.2(1/1),20.0,1,4
1251,levo,4.1.i1.2.1,0.0,0,31
1252,levo,4.1.i1.2.1(1/1),9.595959595959595,19,179
1253,levo,"4.1.i1.2.1(1/1),2.2.1.1.1(1/1)",0.0,0,3
1254,levo,4.1.i1.2.2(1/1),0.0,0,5
1255,levo,4.1.i2.1(1/1),0.0,0,21
1256,levo,"4.1.i2.1(1/1),4.2.1.2.1.1.i1(1/1)",0.0,0,1
1257,levo,4.1.i2.2(1/1),0.0,0,2
1258,levo,4.2.1.1.1.1.1.1.i1,50.0,2,2
