,ID,Drug,Resistant,Lineage
14806,rename_mycobacterium_tuberculosis_m1458.0.variants,pas,0,1.1.2
14819,rename_mycobacterium_tuberculosis_m1404.0.variants,pas,0,1.1.2
15638,KP145,pas,0,1.1.2
15651,KP162,pas,0,1.1.2
16301,Sample No 3213545.IonXpress_029.sorted,pas,0,1.1.2
24855,1773.18403_res,pas,0,1.1.2
25076,1733.4747_sus,pas,0,1.1.2
25180,1733.3687_sus,pas,0,1.1.2
25219,1733.3500_sus,pas,0,1.1.2
31004,IonXpress_001_2020_07_13_sample no 356.sorted,pas,0,1.1.2
32044,3212705.IonXpress_024.sorted,pas,0,1.1.2
32083,SampleNo_3216193_IonXpress_018,pas,0,1.1.2
32096,SampleNo_3216574__IonXpress_017,pas,0,1.1.2
32122,SampleNo_3215324_IonXpress_024,pas,0,1.1.2
32213,1448644.3_sus,pas,0,1.1.2
32408,1448634.3_sus,pas,0,1.1.2
32473,1448617.3_sus,pas,0,1.1.2
33279,Sample No 3212705.IonXpress_021.sorted,pas,0,1.1.2
33578,1448836.3_sus,pas,0,1.1.2
34020,1448669.3_sus,pas,0,1.1.2
34215,1448778.3_sus,pas,0,1.1.2
34319,1448742.3_sus,pas,0,1.1.2
34930,1733.3303_sus,pas,0,1.1.2
34943,1733.10680_sus,pas,0,1.1.2
35086,1733.4535_sus,pas,0,1.1.2
35281,1448647.3_sus,pas,0,1.1.2
35528,1448688.3_sus,pas,0,1.1.2
35671,1733.3659_sus,pas,0,1.1.2
35970,1448783.3_sus,pas,0,1.1.2
36035,1448620.3_sus,pas,0,1.1.2
36100,3215324 _(S2_B24).sorted,pas,0,1.1.2
37244,Test1138,pas,0,1.1.2
37309,Test1155,pas,0,1.1.2
38141,WGS_TB_11-10-2020_2162.sorted,pas,0,1.1.2
40169,TEST0292,pas,0,1.1.2
40286,TEST0268,pas,0,1.1.2
53923,3213123.IonXpress_027.sorted,pas,0,1.1.2
53936,KP138,pas,0,1.1.2
55340,1448611.3_sus,pas,0,1.1.2
55353,1448829.3_sus,pas,0,1.1.2
55509,1448652.3_sus,pas,0,1.1.2
55782,1448636.3_sus,pas,0,1.1.2
56055,1448612.3_sus,pas,0,1.1.2
56094,1733.2319_sus,pas,0,1.1.2
56159,1733.3222_sus,pas,0,1.1.2
56224,1733.10369_sus,pas,0,1.1.2
56276,1448614.3_sus,pas,0,1.1.2
56341,1448681.3_sus,pas,0,1.1.2
56692,1448677.3_sus,pas,0,1.1.2
56744,1448817.3_sus,pas,0,1.1.2
57771,Test1405,pas,0,1.1.2
59734,1408927.4_res,pas,0,1.1.2
59812,1448637.7_res,pas,0,1.1.2
60592,Test268,pas,0,1.1.2
60787,Test292,pas,0,1.1.2
78103,KP128,pas,0,1.1.2
81938,TDR9S156L002,pas,0,1.1.2
82991,Test380,pas,0,1.1.2
83030,Test301,pas,0,1.1.2
83056,Test387,pas,0,1.1.2
83108,Test338,pas,0,1.1.2
83589,Test367,pas,0,1.1.2
83836,Test348,pas,0,1.1.2
83888,Test365,pas,0,1.1.2
89920,Test1311,pas,0,1.1.2
89959,Test1371,pas,0,1.1.2
91077,Test1307,pas,0,1.1.2
97278,3215324 (S2 B 24).sorted,pas,0,1.1.2
97408,WGS_TB_12-07-2020_sample no 2369.sorted,pas,0,1.1.2
100294,Test428,pas,0,1.1.2
100463,Test416,pas,0,1.1.2
100541,Test434,pas,0,1.1.2
100827,Test404,pas,0,1.1.2
100996,Test410,pas,0,1.1.2
103180,1733.2533_res,pas,0,1.1.2
103245,1733.2530_res,pas,0,1.1.2
103674,KP194,pas,0,1.1.2
103687,KP195,pas,0,1.1.2
83446,Test356,pas,0,"1.1.2,2.2.1.1.1"
83641,Test345,pas,0,"1.1.2,2.2.1.1.1"
389,SRR2101131,pas,0,"1.1.2,4"
259,3213637_IonXpress_022,pas,0,1.1.3
285,3213249_IonXpress_019,pas,0,1.1.3
10165,TSVC_variants_IonXpress_020,pas,0,1.1.3
13051,rename_mycobacterium_tuberculosis_h2102.0.variants,pas,0,1.1.3
13220,rename_mycobacterium_tuberculosis_h3004.0.variants,pas,0,1.1.3
25102,1733.3521_sus,pas,0,1.1.3
25115,1733.4002_sus,pas,0,1.1.3
25427,1733.3891_sus,pas,0,1.1.3
33175,TSVC_variants_IonXpress_019,pas,0,1.1.3
33500,1733.10483_sus,pas,0,1.1.3
34592,1733.10539_sus,pas,0,1.1.3
35905,1448776.3_sus,pas,0,1.1.3
38102,TSVC_variants_3214404_020,pas,0,1.1.3
55067,TSVC_variants_IonXpress_030,pas,0,1.1.3
55938,1733.5490_sus,pas,0,1.1.3
59344,1423512.3_res,pas,0,1.1.3
62581,321857_IonXpress_021,pas,0,1.1.3
62594,3212387_IonXpress_022,pas,0,1.1.3
64661,1733.6985_res,pas,0,1.1.3
81769,3213118_IonXpress_027,pas,0,1.1.3
81847,3211453_IonXpress_019,pas,0,1.1.3
81860,3213642_IonXpress_030,pas,0,1.1.3
81899,3211956_IonXpress_026,pas,0,1.1.3
82601,3211198_IonXpress_020,pas,0,1.1.3
